Jaar,Merk,gemiddelde prijs
2016,Audi,49143.12399618892
2016,BMW,56488.44901296577
2016,Hyundai,18351.72664726118
2016,Kia,18765.533565351896
2016,Opel,22613.70690661042
2016,Peugeot,19404.296925966195
2016,Renault,21359.072176574835
2016,Skoda,22280.176213379975
2016,Telsa,110354.77777777778
2016,Toyota,20956.18146465088
2016,Volkswagen,26471.310959836625
2017,Audi,50578.81551569507
2017,BMW,58107.619177018634
2017,Hyundai,18162.730695245948
2017,Kia,19043.61647490412
2017,Opel,22976.05552721956
2017,Peugeot,20418.98132658302
2017,Renault,22289.652988468115
2017,Skoda,23366.60258780037
2017,Telsa,114425.35081967214
2017,Toyota,22020.07223644554
2017,Volkswagen,27484.971867986125
2018,Audi,52518.747321142124
2018,BMW,60098.06689932886
2018,Hyundai,19293.075469781616
2018,Kia,19805.600305563807
2018,Opel,23627.28262101244
2018,Peugeot,21256.754046425896
2018,Renault,22759.503054828216
2018,Skoda,25007.857460035524
2018,Telsa,114210.0700525394
2018,Toyota,22071.05759107456
2018,Volkswagen,27632.78272016638
2019,Audi,54473.11288835438
2019,BMW,60941.600619195044
2019,Hyundai,24065.34050916572
2019,Kia,22823.523041112265
2019,Opel,24477.33149329019
2019,Peugeot,22679.899750364053
2019,Renault,23694.2853745036
2019,Skoda,27210.86796009379
2019,Telsa,60085.01812965693
2019,Toyota,22971.72465349335
2019,Volkswagen,28887.750879540163
2020,Audi,55677.15443217219
2020,BMW,62566.97355782059
2020,Hyundai,23950.159073068105
2020,Kia,25149.03299646627
2020,Opel,24891.39242462845
2020,Peugeot,23341.62781301386
2020,Polestar,62059.37894321766
2020,Renault,24014.133539826125
2020,Skoda,28269.874859769116
2020,Telsa,58194.794193397334
2020,Toyota,23374.452270635906
2020,Volkswagen,30266.522390395698
2021,Audi,57553.176418687726
2021,BMW,64229.11595893607
2021,Hyundai,25459.163116159983
2021,Kia,24936.718877420455
2021,Opel,25187.7049873566
2021,Peugeot,23345.13029637618
2021,Polestar,56166.48334002409
2021,Renault,24429.78989595656
2021,Skoda,31958.71732563424
2021,Telsa,62993.836713101744
2021,Toyota,23993.484602728367
2021,Volkswagen,31185.17355384568
2022,Audi,59272.84756748656
2022,BMW,66189.1087355418
2022,Hyundai,26153.98799963909
2022,Kia,26652.979304057135
2022,Opel,25511.272252621027
2022,Peugeot,24967.307952106763
2022,Polestar,55233.69449863441
2022,Renault,25693.754495059744
2022,Skoda,33076.599918500404
2022,Telsa,65241.39046973803
2022,Toyota,25334.09540640276
2022,Volkswagen,31593.226703182358
