Jaar,Brandstof omschrijving,Merk,Aantal
2016,Benzine,Audi,5556
2016,Benzine,BMW,6000
2016,Benzine,Hyundai,11079
2016,Benzine,Kia,12309
2016,Benzine,Opel,20636
2016,Benzine,Peugeot,18857
2016,Benzine,Renault,15411
2016,Benzine,Skoda,5544
2016,Benzine,Toyota,15565
2016,Benzine,Volkswagen,23157
2016,Diesel,Audi,1723
2016,Diesel,BMW,2454
2016,Diesel,Hyundai,198
2016,Diesel,Kia,211
2016,Diesel,Opel,1561
2016,Diesel,Peugeot,1367
2016,Diesel,Renault,3152
2016,Diesel,Skoda,1317
2016,Diesel,Toyota,353
2016,Diesel,Volkswagen,5901
2016,Elektriciteit,Hyundai,12
2016,Elektriciteit,Kia,6
2016,Elektriciteit,Peugeot,10
2016,Elektriciteit,Renault,58
2016,Elektriciteit,Telsa,9
2016,Elektriciteit,Toyota,1
2016,Elektriciteit,Volkswagen,23
2016,Hybride,Audi,68
2016,Hybride,BMW,107
2016,Hybride,Hyundai,48
2016,Hybride,Kia,404
2016,Hybride,Opel,86
2016,Hybride,Toyota,6967
2016,Hybride,Volkswagen,299
2017,Benzine,Audi,8357
2017,Benzine,BMW,8816
2017,Benzine,Hyundai,13955
2017,Benzine,Kia,16351
2017,Benzine,Opel,27160
2017,Benzine,Peugeot,25489
2017,Benzine,Renault,22030
2017,Benzine,Skoda,7182
2017,Benzine,Toyota,19471
2017,Benzine,Volkswagen,31014
2017,Diesel,Audi,2705
2017,Diesel,BMW,3958
2017,Diesel,Hyundai,261
2017,Diesel,Kia,282
2017,Diesel,Opel,2079
2017,Diesel,Peugeot,1759
2017,Diesel,Renault,5098
2017,Diesel,Skoda,2015
2017,Diesel,Toyota,439
2017,Diesel,Volkswagen,7748
2017,Elektriciteit,Hyundai,114
2017,Elektriciteit,Kia,16
2017,Elektriciteit,Opel,32
2017,Elektriciteit,Peugeot,10
2017,Elektriciteit,Renault,361
2017,Elektriciteit,Telsa,305
2017,Elektriciteit,Toyota,1
2017,Elektriciteit,Volkswagen,158
2017,Hybride,Audi,88
2017,Hybride,BMW,106
2017,Hybride,Hyundai,226
2017,Hybride,Kia,1342
2017,Hybride,Opel,138
2017,Hybride,Toyota,10946
2017,Hybride,Volkswagen,288
2018,Benzine,Audi,11392
2018,Benzine,BMW,12940
2018,Benzine,Hyundai,18487
2018,Benzine,Kia,20594
2018,Benzine,Opel,37002
2018,Benzine,Peugeot,31998
2018,Benzine,Renault,30164
2018,Benzine,Skoda,10343
2018,Benzine,Toyota,22824
2018,Benzine,Volkswagen,44723
2018,Diesel,Audi,3738
2018,Diesel,BMW,5423
2018,Diesel,Hyundai,304
2018,Diesel,Kia,369
2018,Diesel,Opel,3144
2018,Diesel,Peugeot,2706
2018,Diesel,Renault,7040
2018,Diesel,Skoda,3169
2018,Diesel,Toyota,539
2018,Diesel,Volkswagen,10005
2018,Elektriciteit,Audi,2
2018,Elektriciteit,BMW,1
2018,Elektriciteit,Hyundai,635
2018,Elektriciteit,Kia,34
2018,Elektriciteit,Opel,219
2018,Elektriciteit,Peugeot,18
2018,Elektriciteit,Renault,605
2018,Elektriciteit,Telsa,3426
2018,Elektriciteit,Volkswagen,576
2018,Hybride,Audi,453
2018,Hybride,BMW,261
2018,Hybride,Hyundai,264
2018,Hybride,Kia,2566
2018,Hybride,Opel,230
2018,Hybride,Toyota,14820
2018,Hybride,Volkswagen,472
2019,Benzine,Audi,16370
2019,Benzine,BMW,19564
2019,Benzine,Hyundai,21066
2019,Benzine,Kia,24545
2019,Benzine,Opel,48426
2019,Benzine,Peugeot,43396
2019,Benzine,Renault,38504
2019,Benzine,Skoda,17570
2019,Benzine,Toyota,28092
2019,Benzine,Volkswagen,64786
2019,Diesel,Audi,4424
2019,Diesel,BMW,6640
2019,Diesel,Hyundai,281
2019,Diesel,Kia,452
2019,Diesel,Opel,3420
2019,Diesel,Peugeot,4623
2019,Diesel,Renault,6912
2019,Diesel,Skoda,4181
2019,Diesel,Toyota,589
2019,Diesel,Volkswagen,12783
2019,Elektriciteit,Audi,2149
2019,Elektriciteit,BMW,7
2019,Elektriciteit,Hyundai,5415
2019,Elektriciteit,Kia,2912
2019,Elektriciteit,Opel,525
2019,Elektriciteit,Peugeot,51
2019,Elektriciteit,Renault,1673
2019,Elektriciteit,Telsa,25097
2019,Elektriciteit,Toyota,4
2019,Elektriciteit,Volkswagen,2087
2019,Hybride,Audi,2002
2019,Hybride,BMW,598
2019,Hybride,Hyundai,459
2019,Hybride,Kia,3882
2019,Hybride,Opel,164
2019,Hybride,Toyota,20809
2019,Hybride,Volkswagen,1068
2020,Benzine,Audi,22101
2020,Benzine,BMW,27407
2020,Benzine,Hyundai,23952
2020,Benzine,Kia,31308
2020,Benzine,Opel,53174
2020,Benzine,Peugeot,55900
2020,Benzine,Renault,46745
2020,Benzine,Skoda,22869
2020,Benzine,Toyota,33853
2020,Benzine,Volkswagen,81290
2020,Diesel,Audi,4770
2020,Diesel,BMW,7540
2020,Diesel,Hyundai,281
2020,Diesel,Kia,447
2020,Diesel,Opel,3278
2020,Diesel,Peugeot,5769
2020,Diesel,Renault,7003
2020,Diesel,Skoda,3202
2020,Diesel,Toyota,545
2020,Diesel,Volkswagen,13582
2020,Elektriciteit,Audi,3639
2020,Elektriciteit,BMW,1
2020,Elektriciteit,Hyundai,5142
2020,Elektriciteit,Kia,6519
2020,Elektriciteit,Opel,2164
2020,Elektriciteit,Peugeot,2078
2020,Elektriciteit,Polestar,2534
2020,Elektriciteit,Renault,2480
2020,Elektriciteit,Skoda,1330
2020,Elektriciteit,Telsa,8542
2020,Elektriciteit,Toyota,30
2020,Elektriciteit,Volkswagen,9732
2020,Hybride,Audi,4800
2020,Hybride,BMW,2530
2020,Hybride,Hyundai,2472
2020,Hybride,Kia,6155
2020,Hybride,Opel,259
2020,Hybride,Peugeot,108
2020,Hybride,Polestar,2
2020,Hybride,Renault,594
2020,Hybride,Skoda,232
2020,Hybride,Toyota,27515
2020,Hybride,Volkswagen,4014
2021,Benzine,Audi,26973
2021,Benzine,BMW,34376
2021,Benzine,Hyundai,27561
2021,Benzine,Kia,39089
2021,Benzine,Opel,63346
2021,Benzine,Peugeot,67737
2021,Benzine,Renault,51349
2021,Benzine,Skoda,26166
2021,Benzine,Toyota,39248
2021,Benzine,Volkswagen,96754
2021,Diesel,Audi,5239
2021,Diesel,BMW,8069
2021,Diesel,Hyundai,298
2021,Diesel,Kia,381
2021,Diesel,Opel,3713
2021,Diesel,Peugeot,5058
2021,Diesel,Renault,7111
2021,Diesel,Skoda,2843
2021,Diesel,Toyota,549
2021,Diesel,Volkswagen,14340
2021,Elektriciteit,Audi,4742
2021,Elektriciteit,BMW,2303
2021,Elektriciteit,Hyundai,6075
2021,Elektriciteit,Kia,6950
2021,Elektriciteit,Opel,2336
2021,Elektriciteit,Peugeot,3537
2021,Elektriciteit,Polestar,2483
2021,Elektriciteit,Renault,3314
2021,Elektriciteit,Skoda,5876
2021,Elektriciteit,Telsa,5671
2021,Elektriciteit,Toyota,195
2021,Elektriciteit,Volkswagen,12455
2021,Hybride,Audi,9515
2021,Hybride,BMW,6684
2021,Hybride,Hyundai,6295
2021,Hybride,Kia,12195
2021,Hybride,Opel,602
2021,Hybride,Peugeot,631
2021,Hybride,Polestar,8
2021,Hybride,Renault,4160
2021,Hybride,Skoda,2522
2021,Hybride,Toyota,37197
2021,Hybride,Volkswagen,6935
2022,Benzine,Audi,29333
2022,Benzine,BMW,39205
2022,Benzine,Hyundai,29144
2022,Benzine,Kia,41971
2022,Benzine,Opel,63387
2022,Benzine,Peugeot,72476
2022,Benzine,Renault,50981
2022,Benzine,Skoda,25945
2022,Benzine,Toyota,40561
2022,Benzine,Volkswagen,105986
2022,Diesel,Audi,4756
2022,Diesel,BMW,7377
2022,Diesel,Hyundai,227
2022,Diesel,Kia,354
2022,Diesel,Opel,3255
2022,Diesel,Peugeot,3458
2022,Diesel,Renault,5649
2022,Diesel,Skoda,2363
2022,Diesel,Toyota,497
2022,Diesel,Volkswagen,14375
2022,Elektriciteit,Audi,7449
2022,Elektriciteit,BMW,5285
2022,Elektriciteit,Hyundai,5653
2022,Elektriciteit,Kia,7758
2022,Elektriciteit,Opel,4365
2022,Elektriciteit,Peugeot,7837
2022,Elektriciteit,Polestar,2555
2022,Elektriciteit,Renault,5190
2022,Elektriciteit,Skoda,6349
2022,Elektriciteit,Telsa,8856
2022,Elektriciteit,Toyota,424
2022,Elektriciteit,Volkswagen,10761
2022,Hybride,Audi,11843
2022,Hybride,BMW,9171
2022,Hybride,Hyundai,9308
2022,Hybride,Kia,15727
2022,Hybride,Opel,816
2022,Hybride,Peugeot,1502
2022,Hybride,Polestar,8
2022,Hybride,Renault,7812
2022,Hybride,Skoda,2153
2022,Hybride,Toyota,41982
2022,Hybride,Volkswagen,7266
