Merk,Brandstof omschrijving,brandstof verdeling
Audi,Benzine,120082
Audi,Hybride,28769
Audi,Diesel,27355
Audi,Elektriciteit,17981
BMW,Benzine,148308
BMW,Diesel,41461
BMW,Hybride,19457
BMW,Elektriciteit,7597
Hyundai,Benzine,145244
Hyundai,Elektriciteit,23046
Hyundai,Hybride,19072
Hyundai,Diesel,1850
Kia,Benzine,186167
Kia,Hybride,42271
Kia,Elektriciteit,24195
Kia,Diesel,2496
Opel,Benzine,313131
Opel,Diesel,20450
Opel,Elektriciteit,9641
Opel,Hybride,2295
Peugeot,Benzine,315853
Peugeot,Diesel,24740
Peugeot,Elektriciteit,13541
Peugeot,Hybride,2241
Polestar,Elektriciteit,7572
Polestar,Hybride,18
Renault,Benzine,255184
Renault,Diesel,41965
Renault,Elektriciteit,13681
Renault,Hybride,12566
Skoda,Benzine,115619
Skoda,Diesel,19090
Skoda,Elektriciteit,13555
Skoda,Hybride,4907
Telsa,Elektriciteit,51906
Toyota,Benzine,199614
Toyota,Hybride,160236
Toyota,Diesel,3511
Toyota,Elektriciteit,655
Volkswagen,Benzine,447710
Volkswagen,Diesel,78734
Volkswagen,Elektriciteit,35792
Volkswagen,Hybride,20342
