Jaar,Merk,Aantal verkochte auto's,Totaal verkochte auto's,Gemiddelde Catalogusprijs,Ranking
2016,Volkswagen,29380,582578,26471.31,1
2016,Toyota,22886,364016,20956.18,2
2016,Opel,22283,345517,22613.71,3
2016,Peugeot,20234,356375,19404.3,4
2016,Renault,18621,323396,21359.07,5
2016,Kia,12930,255129,18765.53,6
2016,Hyundai,11337,189212,18351.73,7
2016,BMW,8561,216823,56488.45,8
2016,Audi,7347,194187,49143.12,9
2016,Skoda,6861,153171,22280.18,10
2016,Telsa,9,51906,110354.78,11
2017,Volkswagen,39208,582578,27484.97,1
2017,Toyota,30857,364016,22020.07,2
2017,Opel,29409,345517,22976.06,3
2017,Renault,27489,323396,22289.65,4
2017,Peugeot,27258,356375,20418.98,5
2017,Kia,17991,255129,19043.62,6
2017,Hyundai,14556,189212,18162.73,7
2017,BMW,12880,216823,58107.62,8
2017,Audi,11150,194187,50578.82,9
2017,Skoda,9197,153171,23366.6,10
2017,Telsa,305,51906,114425.35,11
2018,Volkswagen,55776,582578,27632.78,1
2018,Opel,40595,345517,23627.28,2
2018,Toyota,38183,364016,22071.06,3
2018,Renault,37809,323396,22759.5,4
2018,Peugeot,34722,356375,21256.75,5
2018,Kia,23563,255129,19805.6,6
2018,Hyundai,19690,189212,19293.08,7
2018,BMW,18625,216823,60098.07,8
2018,Audi,15585,194187,52518.75,9
2018,Skoda,13512,153171,25007.86,10
2018,Telsa,3426,51906,114210.07,11
2019,Volkswagen,80724,582578,28887.75,1
2019,Opel,52535,345517,24477.33,2
2019,Toyota,49494,364016,22971.72,3
2019,Peugeot,48070,356375,22679.9,4
2019,Renault,47089,323396,23694.29,5
2019,Kia,31791,255129,22823.52,6
2019,Hyundai,27221,189212,24065.34,7
2019,BMW,26809,216823,60941.6,8
2019,Telsa,25097,51906,60085.02,9
2019,Audi,24945,194187,54473.11,10
2019,Skoda,21751,153171,27210.87,11
2020,Volkswagen,108618,582578,30266.52,1
2020,Peugeot,63855,356375,23341.63,2
2020,Toyota,61943,364016,23374.45,3
2020,Opel,58875,345517,24891.39,4
2020,Renault,56822,323396,24014.13,5
2020,Kia,44429,255129,25149.03,6
2020,BMW,37478,216823,62566.97,7
2020,Audi,35310,194187,55677.15,8
2020,Hyundai,31847,189212,23950.16,9
2020,Skoda,27633,153171,28269.87,10
2020,Telsa,8542,51906,58194.79,11
2020,Polestar,2536,7590,62059.38,12
2021,Volkswagen,130484,582578,31185.17,1
2021,Toyota,77189,364016,23993.48,2
2021,Peugeot,76963,356375,23345.13,3
2021,Opel,69997,345517,25187.7,4
2021,Renault,65934,323396,24429.79,5
2021,Kia,58615,255129,24936.72,6
2021,BMW,51432,216823,64229.12,7
2021,Audi,46469,194187,57553.18,8
2021,Hyundai,40229,189212,25459.16,9
2021,Skoda,37407,153171,31958.72,10
2021,Telsa,5671,51906,62993.84,11
2021,Polestar,2491,7590,56166.48,12
2022,Volkswagen,138388,582578,31593.23,1
2022,Peugeot,85273,356375,24967.31,2
2022,Toyota,83464,364016,25334.1,3
2022,Opel,71823,345517,25511.27,4
2022,Renault,69632,323396,25693.75,5
2022,Kia,65810,255129,26652.98,6
2022,BMW,61038,216823,66189.11,7
2022,Audi,53381,194187,59272.85,8
2022,Hyundai,44332,189212,26153.99,9
2022,Skoda,36810,153171,33076.6,10
2022,Telsa,8856,51906,65241.39,11
2022,Polestar,2563,7590,55233.69,12
